Campaign Name,Ad Group Name,Targeting,Match Type,impressions,clicks,orders,spend,sales,ACoS(%),CVR(%),CPC($),销售占比(%),花费占比(%),label,action,adj_pct,adj_dollar,reason
SL_1_slip leads for dogs_强相关,精准,slip lead for dogs,EXACT,20021,299,46,328.46,1032.49,31.8,15.38,1.1,8.87,7.18,✅ 低ACoS出单,🔒 保护,0%,$0.00,核心流量，维持出价
SL_howgo_合集4_40词,40词,howgo dog slip lead dog leash,EXACT,20049,161,42,183.91,941.98,19.5,26.09,1.14,8.09,4.02,✅ 低ACoS出单,🔒 保护,0%,$0.00,核心流量，维持出价
SL_B0FDBM5VW1_9V_精准_L_重点FURSDOLY_0316(TOS10->15),B0FDBM5VW1_9V,"asin=""B0FDBM5VW1""",-,7578,211,31,259.9,676.11,38.4,14.69,1.23,5.81,5.68,⚠️ 高ACoS出单,🔒 保护,0%,$0.00,核心流量，谨慎调整
SL_1_slip leads for dogs_强相关,精准,slip leads for dogs,EXACT,9556,195,31,221.59,695.94,31.8,15.9,1.14,5.98,4.85,✅ 低ACoS出单,🔒 保护,0%,$0.00,核心流量，维持出价
SL_B09T3KS313_8V_精准M_重点BOOEUDI_UD_0317提杠杆,B09T3KS313_1V,"asin=""B09T3KS313""",-,14229,269,28,301.33,626.63,48.1,10.41,1.12,5.38,6.59,⚠️ 高ACoS出单,🔒 保护,0%,$0.00,核心流量，谨慎调整
SL_B095775SWX_25V_精准_M_重点TagME,B095775SWX_1V,"asin=""B095775SWX""",-,3591,100,17,107.75,360.45,29.9,17.0,1.08,3.1,2.36,✅ 低ACoS出单,🔒 保护,0%,$0.00,核心流量，维持出价
SL_0_合集_slip leash *_3,精准_24,slip leash for dog,EXACT,16651,139,14,153.57999999999998,358.17,42.9,10.07,1.1,3.08,3.36,⚠️ 高ACoS出单,🔒 保护,0%,$0.00,核心流量，谨慎调整
SL_B07VLGKXFV_3V_精准VL_重点MoSANY_DW_0316,B07VLGKXFV_3V,"asin=""B07VLGKXFV""",-,2374,58,12,53.81,258.18,20.8,20.69,0.93,2.22,1.18,✅ 低ACoS出单,🔒 保护,0%,$0.00,核心流量，维持出价
SL_0_合集_slip leash *_3,精准_24,slip leash dog,EXACT,17393,97,11,105.26,271.12,38.8,11.34,1.09,2.33,2.3,⚠️ 高ACoS出单,🔒 保护,0%,$0.00,核心流量，谨慎调整
SL_1_slip leash for dogs_强相关,精准,slip leashes for dog,EXACT,2491,51,10,68.72999999999999,200.17000000000002,34.3,19.61,1.35,1.72,1.5,✅ 低ACoS出单,🔒 保护,0%,$0.00,核心流量，维持出价
SL_2_dog slip lead_强相关_0925-1209,精准,dog slip lead,EXACT,10115,90,9,88.44,223.1,39.6,10.0,0.98,1.92,1.93,⚠️ 高ACoS出单,↘ 降价,-5%,$0.05,ACoS超出目标13%，小幅降价
SL_1_slip leash_强相关,精准,slip leash,EXACT,8707,111,8,121.47,181.32999999999998,67.0,7.21,1.09,1.56,2.66,⚠️ 高ACoS出单,↘ 降价,-15%,$0.16,ACoS严重偏高（91%），大幅降价
SL_B091TMYKHF_13V_精准H_重点MayPaw_DW,B091TMYKHF_5V,"asin=""B091TMYKHF""",-,4581,76,8,53.76,179.22,30.0,10.53,0.71,1.54,1.18,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
